season,team,epa_per_play
2011,ARI,-0.08603181871564607
2012,ARI,-0.17549111526820782
2013,ARI,-0.029795964070639957
2014,ARI,-0.07820171016290602
2015,ARI,0.05918692280415767
2016,ARI,-0.03741187773236496
2017,ARI,-0.12677531481891516
2018,ARI,-0.21237668632864856
2019,ARI,-0.022010187961024302
2020,ARI,0.017034709806064006
2021,ARI,0.011775129002743237
2022,ARI,-0.09016202617185451
2023,ARI,-0.04300769486106615
2024,ARI,0.06276990786152173
2011,ATL,0.008131513853456345
2012,ATL,0.0713875287262647
2013,ATL,0.009676397322311545
2014,ATL,0.008766279797678269
2015,ATL,-0.01587060215077833
2016,ATL,0.1551012319282575
2017,ATL,0.033757682292312734
2018,ATL,0.05533821624185175
2019,ATL,-0.008716796863305563
2020,ATL,0.025502673138227582
2021,ATL,-0.07885476790952349
2022,ATL,-0.002264491700091619
2023,ATL,-0.08694300716584562
2024,ATL,0.011400167581046587
2011,BAL,-0.0014317909927837622
2012,BAL,0.06185393894643617
2013,BAL,-0.04215764949752643
2014,BAL,0.0669049045224284
2015,BAL,-0.042881153854204226
2016,BAL,-0.03553163706562016
2017,BAL,-0.027005561831613036
2018,BAL,-0.004595807720740227
2019,BAL,0.12762613521362123
2020,BAL,0.06959085042889351
2021,BAL,0.005229937716494351
2022,BAL,0.007007155124872241
2023,BAL,0.04738032259068502
2024,BAL,0.14310426973582638
2011,BUF,-0.013409312901275757
2012,BUF,-0.016404400318640593
2013,BUF,-0.06239196444604319
2014,BUF,-0.06616804770164558
2015,BUF,0.011405613915312076
2016,BUF,0.008842112240903604
2017,BUF,-0.0659428762262438
2018,BUF,-0.15865022783262053
2019,BUF,-0.03972181738091004
2020,BUF,0.1165485323029699
2021,BUF,0.08354940572066555
2022,BUF,0.06742524123346337
2023,BUF,0.06288389886711393
2024,BUF,0.14082547340312931
2011,CAR,0.052187976949543
2012,CAR,0.034557475415383024
2013,CAR,0.04446108376038376
2014,CAR,-0.041637271734588366
2015,CAR,0.04777855656596435
2016,CAR,-0.05087240793174402
2017,CAR,-0.014371478923298209
2018,CAR,0.03745923866284893
2019,CAR,-0.0842317577489528
2020,CAR,0.013705446833691121
2021,CAR,-0.12874690246636022
2022,CAR,-0.035241254410916446
2023,CAR,-0.13063785318176943
2024,CAR,-0.03923057976608136
2011,CHI,-0.06363853507063152
2012,CHI,-0.037122263367786554
2013,CHI,0.0583911043159159
2014,CHI,-0.05569785032987643
2015,CHI,-0.011652064674578714
2016,CHI,-0.06822297401959324
2017,CHI,-0.10538856549676964
2018,CHI,-0.0054781693490917735
2019,CHI,-0.07966619748922482
2020,CHI,-0.0261258758722835
2021,CHI,-0.08614929024889842
2022,CHI,-0.043954369308841494
2023,CHI,-0.060280942454210694
2024,CHI,-0.05115121751314612
2011,CIN,-0.04041088351667924
2012,CIN,0.0044004167015182
2013,CIN,0.012783605836268037
2014,CIN,-0.02260899093510749
2015,CIN,0.03538878362221855
2016,CIN,0.015777174407167867
2017,CIN,-0.10103653093314481
2018,CIN,-0.008605286322623968
2019,CIN,-0.06810406931601959
2020,CIN,-0.03696040574091116
2021,CIN,0.028549500845218307
2022,CIN,0.046970664143104544
2023,CIN,-0.005280120591913751
2024,CIN,0.08971625801273327
2011,CLE,-0.06892515365697237
2012,CLE,-0.054605432669900165
2013,CLE,-0.06259526366565264
2014,CLE,-0.07976682588168742
2015,CLE,-0.08289456689136523
2016,CLE,-0.07126697857107868
2017,CLE,-0.1362000249181575
2018,CLE,-0.05073830180443686
2019,CLE,-0.04159721804491457
2020,CLE,0.056776325114848196
2021,CLE,-0.023951041086023497
2022,CLE,-0.005126881193126397
2023,CLE,-0.10759195644466839
2024,CLE,-0.15061744016889522
2011,DAL,0.018979898462866376
2012,DAL,0.02653168312164707
2013,DAL,0.05895468882302206
2014,DAL,0.0843750867582915
2015,DAL,-0.05643899039947579
2016,DAL,0.08547472362217545
2017,DAL,-0.004331497971136075
2018,DAL,-0.016749716323377784
2019,DAL,0.05712612215066483
